Date,Open,High,Low,Close,Volume,Market Cap
"Aug 19, 2017",0.006708,0.006822,0.006087,0.006732,"4,993,790","192,518,000"
"Aug 18, 2017",0.007057,0.007498,0.006531,0.006728,"6,032,540","202,346,000"
"Aug 17, 2017",0.007366,0.007522,0.007004,0.007017,"5,965,510","211,019,000"
"Aug 16, 2017",0.007589,0.008218,0.007303,0.007418,"9,653,770","217,215,000"
"Aug 15, 2017",0.006733,0.008893,0.006214,0.007584,"23,953,700","192,532,000"
"Aug 14, 2017",0.007252,0.00729,0.006217,0.006743,"9,172,540","207,148,000"
"Aug 13, 2017",0.007774,0.007851,0.007094,0.007299,"8,567,400","221,812,000"
"Aug 12, 2017",0.008337,0.008603,0.007405,0.00779,"8,512,030","237,654,000"
"Aug 11, 2017",0.008226,0.008709,0.007922,0.008323,"13,007,000","234,237,000"
"Aug 10, 2017",0.009121,0.009247,0.00831,0.00831,"10,293,200","259,440,000"
"Aug 09, 2017",0.009457,0.00975,0.008979,0.009106,"6,640,460","268,727,000"
"Aug 08, 2017",0.009327,0.009986,0.0091,0.009448,"8,507,530","264,789,000"
"Aug 07, 2017",0.009232,0.00968,0.009116,0.009344,"8,307,390","261,866,000"
"Aug 06, 2017",0.009779,0.009974,0.009186,0.009231,"5,891,150","277,152,000"
"Aug 05, 2017",0.009053,0.010057,0.008977,0.009799,"9,379,230","256,391,000"
"Aug 04, 2017",0.009146,0.009455,0.009092,0.009092,"7,388,260","258,804,000"
"Aug 03, 2017",0.008672,0.009257,0.00853,0.009111,"5,825,440","245,170,000"
"Aug 02, 2017",0.008637,0.009105,0.008431,0.008699,"7,756,700","243,972,000"
"Aug 01, 2017",0.008052,0.009137,0.007842,0.008677,"9,803,780","227,224,000"
"Jul 31, 2017",0.00802,0.008225,0.007653,0.008058,"4,179,200","226,138,000"
"Jul 30, 2017",0.008437,0.008453,0.007773,0.008031,"3,863,540","237,647,000"
"Jul 29, 2017",0.007968,0.008458,0.00755,0.008427,"4,394,720","224,159,000"
"Jul 28, 2017",0.008461,0.00856,0.007589,0.008027,"7,549,660","237,769,000"
"Jul 27, 2017",0.008577,0.008734,0.008223,0.008455,"4,758,040","240,807,000"
"Jul 26, 2017",0.008753,0.009089,0.007907,0.008532,"7,731,680","245,524,000"
"Jul 25, 2017",0.010984,0.011094,0.008109,0.008791,"18,975,600","307,759,000"
"Jul 24, 2017",0.010014,0.011327,0.009477,0.010984,"25,162,500","280,308,000"
"Jul 23, 2017",0.010041,0.010574,0.00886,0.010032,"17,833,900","280,781,000"
"Jul 22, 2017",0.008949,0.010398,0.008924,0.010053,"14,279,900","250,018,000"
"Jul 21, 2017",0.008892,0.009422,0.008602,0.008939,"9,707,960","248,157,000"
"Jul 20, 2017",0.007337,0.00899,0.007337,0.008761,"9,314,570","204,606,000"
"Jul 19, 2017",0.007787,0.008274,0.007137,0.007339,"8,796,440","216,983,000"
"Jul 18, 2017",0.007212,0.008129,0.006723,0.007761,"10,157,300","200,778,000"
"Jul 17, 2017",0.00585,0.007211,0.00585,0.00717,"7,221,400","162,699,000"
"Jul 16, 2017",0.006262,0.006532,0.005524,0.005833,"5,470,070","173,998,000"
"Jul 15, 2017",0.007008,0.007027,0.006181,0.006282,"4,785,200","194,503,000"
"Jul 14, 2017",0.007916,0.007946,0.006897,0.006987,"6,414,700","219,525,000"
"Jul 13, 2017",0.008976,0.009336,0.007481,0.007886,"12,324,300","248,633,000"
"Jul 12, 2017",0.006867,0.008924,0.00652,0.008924,"14,168,400","190,031,000"
"Jul 11, 2017",0.007519,0.007759,0.005961,0.006947,"19,583,900","207,856,000"
"Jul 10, 2017",0.009784,0.009852,0.006863,0.00768,"13,567,500","270,239,000"
"Jul 09, 2017",0.010866,0.011323,0.009782,0.009782,"9,814,290","299,860,000"
"Jul 08, 2017",0.010211,0.010855,0.008912,0.010855,"20,421,000","281,480,000"
"Jul 07, 2017",0.012357,0.012437,0.009721,0.010217,"18,271,700","340,313,000"
"Jul 06, 2017",0.01296,0.013081,0.012268,0.012311,"8,812,730","356,501,000"
"Jul 05, 2017",0.013388,0.013388,0.012567,0.012953,"8,529,170","367,905,000"
"Jul 04, 2017",0.013675,0.014242,0.013207,0.013354,"9,453,090","375,388,000"
"Jul 03, 2017",0.013128,0.014814,0.012366,0.013694,"20,454,200","360,060,000"
"Jul 02, 2017",0.012813,0.0133,0.011631,0.013083,"15,819,000","351,045,000"
"Jul 01, 2017",0.014319,0.014398,0.012387,0.012829,"10,025,100","391,898,000"
"Jun 30, 2017",0.01517,0.015277,0.014132,0.014268,"7,334,430","414,773,000"
